Mediana_100.txt, 0.0112, 0.0097, 0.0082, 0.0074, 0.0072, 2122, 
Mediana_1000.txt, 0.2958, 0.284, 0.1992, 0.197, 0.1963, 2350, 
Mediana_10000.txt, 1.6617, 1.4605, 1.4612, 1.4632, 1.463, 2297, 
Mediana_100000.txt, 22.9188, 23.0178, 22.946, 22.893, 23.1682, 2335, 
Mediana_1000000.txt, 933.224, 901.209, 900.948, 908.16, 899.255, 2342, 
Mediana_1250000.txt, 1375.48, 1376.05, 1370.48, 1368.58, 1380.42, 2339, 
Mediana_15000.txt, 2.3712, 2.4059, 2.413, 2.3636, 2.3646, 2345, 
Mediana_1500000.txt, 1924.29, 1915.88, 1911.54, 1933.73, 1916.98, 2338, 
Mediana_200.txt, 0.0165, 0.015, 0.0143, 0.0132, 0.0129, 2351, 
Mediana_2000.txt, 0.2273, 0.2255, 0.2239, 0.2235, 0.2224, 2325, 
Mediana_200000.txt, 59.8841, 60.0489, 60.5635, 60.0869, 60.0322, 2342, 
Mediana_2000000.txt, 3325.55, 3324.38, 3333.82, 3326.91, 3323.76, 2339, 
Mediana_30000.txt, 4.9156, 4.9865, 4.8915, 4.8537, 4.8509, 2340, 
Mediana_500.txt, 0.0491, 0.0474, 0.0464, 0.0457, 0.0455, 2570, 
Mediana_5000.txt, 0.8646, 0.8562, 0.8553, 0.8574, 0.8581, 2292, 
Mediana_50000.txt, 9.7602, 9.4567, 9.4551, 9.4663, 9.4718, 2334, 
Mediana_500000.txt, 263.712, 262.506, 262.839, 270.412, 264.667, 2341, 
Mediana_7500.txt, 1.0342, 1.0276, 1.0258, 1.0677, 1.0267, 2382, 
Mediana_75000.txt, 15.464, 15.3806, 15.4078, 15.3505, 15.5242, 2338, 
Mediana_750000.txt, 542.346, 536.807, 535.447, 555.719, 547.486, 2339, 
